source,target,probability
T1219,T1018,7.69
T1219,T1021,46.15
T1219,T1053,7.69
T1219,T1091,7.69
T1219,T1113,7.69
T1219,T1204,7.69
T1219,T1218,7.69
T1219,T1539,7.69
T1221,T1199,12.50
T1221,T1204,87.50
T1222,T1562,50.00
T1222,T1564,25.00
T1222,T1589,25.00
T1480,T1048,50.00
T1480,T1564,50.00
T1482,T1114,16.67
T1482,T1189,33.33
T1482,T1567,16.67
T1482,T1568,16.67
T1482,T1573,16.67
T1484,T1482,20.00
T1484,T1499,20.00
T1484,T1567,40.00
T1484,T1585,20.00
T1485,T1005,20.00
T1485,T1132,40.00
T1485,T1213,20.00
T1485,T1486,20.00
T1486,T1005,30.00
T1486,T1074,20.00
T1486,T1140,10.00
T1486,T1213,30.00
T1486,T1530,10.00
T1489,T1007,25.00
T1489,T1199,25.00
T1489,T1518,25.00
T1489,T1608,25.00
T1490,T1570,100.00
T1491,T1140,100.00
T1496,T1014,75.00
T1496,T1053,25.00
T1497,T1047,50.00
T1497,T1102,50.00
T1498,T1040,100.00
T1499,T1585,100.00
T1505,T1049,7.69
T1505,T1072,7.69
T1505,T1078,3.85
T1505,T1082,3.85
T1505,T1204,3.85
T1505,T1218,15.38
T1505,T1489,3.85
T1505,T1518,15.38
T1505,T1528,7.69
T1505,T1552,3.85
T1505,T1553,19.23
T1505,T1608,7.69
T1518,T1007,3.70
T1518,T1016,3.70
T1518,T1082,33.33
T1518,T1124,3.70
T1518,T1195,3.70
T1518,T1218,14.81
T1518,T1553,11.11
T1518,T1558,3.70
T1518,T1608,22.22
T1528,T1218,50.00
T1528,T1649,50.00
T1529,T1124,33.33
T1529,T1204,66.67
T1530,T1213,100.00
T1531,T1087,50.00
T1531,T1560,50.00
T1534,T1027,40.00
T1534,T1036,60.00
T1538,T1136,100.00
T1539,T1195,20.00
T1539,T1204,20.00
T1539,T1553,60.00
T1542,T1055,33.33
T1542,T1057,66.67
T1543,T1074,4.55
T1543,T1132,9.09
T1543,T1140,13.64
T1543,T1189,4.55
T1543,T1200,4.55
T1543,T1213,4.55
T1543,T1485,9.09
T1543,T1486,4.55
T1543,T1546,4.55
T1543,T1555,27.27
T1543,T1562,4.55
T1543,T1573,4.55
T1543,T1587,4.55
T1546,T1041,20.00
T1546,T1048,20.00
T1546,T1052,5.00
T1546,T1070,5.00
T1546,T1105,5.00
T1546,T1133,5.00
T1546,T1190,15.00
T1546,T1480,5.00
T1546,T1564,5.00
T1546,T1567,15.00
T1547,T1005,1.96
T1547,T1037,7.84
T1547,T1059,64.71
T1547,T1110,15.69
T1547,T1176,1.96
T1547,T1189,1.96
T1547,T1543,1.96
T1547,T1562,1.96
T1547,T1574,1.96
T1548,T1059,11.11
T1548,T1071,22.22
T1548,T1087,44.44
T1548,T1098,11.11
T1548,T1560,11.11
T1550,T1078,40.00
T1550,T1204,60.00
T1552,T1078,6.67
T1552,T1102,6.67
T1552,T1204,53.33
T1552,T1550,33.33
T1553,T1016,4.00
T1553,T1033,8.00
T1553,T1078,8.00
T1553,T1082,16.00
T1553,T1195,12.00
T1553,T1205,4.00
T1553,T1218,40.00
T1553,T1552,4.00
T1553,T1569,4.00
T1554,T1136,50.00
T1554,T1584,50.00
T1555,T1005,32.14
T1555,T1105,3.57
T1555,T1132,10.71
T1555,T1140,14.29
T1555,T1189,3.57
T1555,T1213,10.71
T1555,T1485,7.14
T1555,T1486,7.14
T1555,T1530,3.57
T1555,T1574,3.57
T1555,T1585,3.57
T1556,T1046,20.00
T1556,T1090,20.00
T1556,T1111,20.00
T1556,T1578,20.00
T1556,T1621,20.00
T1557,T1071,80.00
T1557,T1587,20.00
T1558,T1082,25.00
T1558,T1539,25.00
T1558,T1553,50.00
T1559,T1027,8.33
T1559,T1036,58.33
T1559,T1046,8.33
T1559,T1112,8.33
T1559,T1534,16.67
T1560,T1059,25.00
T1560,T1119,22.50
T1560,T1197,10.00
T1560,T1217,2.50
T1560,T1486,2.50
T1560,T1547,35.00
T1560,T1584,2.50
T1561,T1189,75.00
T1561,T1484,25.00
T1562,T1027,3.57
T1562,T1036,7.14
T1562,T1070,60.71
T1562,T1105,25.00
T1562,T1656,3.57
T1563,T1021,100.00
T1564,T1027,3.70
T1564,T1036,3.70
T1564,T1056,3.70
T1564,T1070,3.70
T1564,T1105,7.41
T1564,T1120,3.70
T1564,T1556,3.70
T1564,T1562,22.22
T1564,T1574,37.04
T1564,T1588,7.41
T1564,T1656,3.70
T1565,T1074,50.00
T1565,T1561,50.00
T1566,T1018,2.33
T1566,T1021,1.16
T1566,T1053,6.98
T1566,T1055,13.95
T1566,T1057,20.93
T1566,T1082,1.16
T1566,T1090,3.49
T1566,T1091,1.16
T1566,T1113,1.16
T1566,T1204,12.79
T1566,T1218,3.49
T1566,T1219,4.65
T1566,T1221,1.16
T1566,T1518,1.16
T1566,T1542,2.33
T1566,T1553,1.16
T1566,T1563,1.16
T1566,T1572,1.16
T1566,T1597,1.16
T1566,T1598,13.95
T1566,T1608,3.49
T1567,T1068,9.09
T1567,T1083,4.55
T1567,T1133,9.09
T1567,T1190,50.00
T1567,T1203,13.64
T1567,T1210,4.55
T1567,T1588,4.55
T1567,T1589,4.55
T1568,T1041,10.00
T1568,T1114,10.00
T1568,T1190,10.00
T1568,T1203,20.00
T1568,T1546,10.00
T1568,T1562,10.00
T1568,T1573,20.00
T1568,T1589,10.00
T1569,T1047,9.09
T1569,T1078,9.09
T1569,T1124,9.09
T1569,T1204,27.27
T1569,T1529,9.09
T1569,T1550,9.09
T1569,T1552,27.27
T1570,T1036,72.73
T1570,T1112,9.09
T1570,T1588,9.09
T1570,T1654,9.09
T1571,T1027,83.33
T1571,T1588,16.67
T1572,T1012,16.67
T1572,T1021,16.67
T1572,T1090,58.33
T1572,T1219,8.33
T1573,T1041,18.18
T1573,T1048,9.09
T1573,T1052,4.55
T1573,T1190,4.55
T1573,T1203,22.73
T1573,T1546,18.18
T1573,T1562,4.55
T1573,T1585,18.18
T1574,T1036,16.13
T1574,T1070,25.81
T1574,T1105,29.03
T1574,T1112,3.23
T1574,T1562,22.58
T1574,T1566,3.23
T1578,T1111,50.00
T1578,T1621,50.00
T1580,T1538,100.00
T1583,T1010,2.50
T1583,T1036,2.50
T1583,T1059,2.50
T1583,T1071,30.00
T1583,T1083,2.50
T1583,T1110,2.50
T1583,T1547,5.00
T1583,T1557,5.00
T1583,T1560,12.50
T1583,T1567,2.50
T1583,T1584,2.50
T1583,T1585,5.00
T1583,T1586,5.00
T1583,T1595,20.00
T1584,T1005,11.76
T1584,T1136,41.18
T1584,T1189,5.88
T1584,T1213,5.88
T1584,T1543,11.76
T1584,T1555,11.76
T1584,T1574,5.88
T1584,T1587,5.88
T1585,T1036,5.88
T1585,T1041,5.88
T1585,T1048,17.65
T1585,T1203,5.88
T1585,T1546,35.29
T1585,T1562,5.88
T1585,T1566,5.88
T1585,T1567,5.88
T1585,T1588,5.88
T1585,T1589,5.88
T1586,T1074,11.11
T1586,T1105,11.11
T1586,T1554,11.11
T1586,T1555,11.11
T1586,T1584,55.56
T1587,T1041,5.56
T1587,T1114,11.11
T1587,T1189,22.22
T1587,T1190,11.11
T1587,T1203,5.56
T1587,T1484,11.11
T1587,T1546,5.56
T1587,T1561,11.11
T1587,T1573,5.56
T1587,T1585,5.56
T1587,T1611,5.56
T1588,T1003,43.48
T1588,T1021,2.90
T1588,T1069,5.80
T1588,T1078,1.45
T1588,T1090,4.35
T1588,T1091,1.45
T1588,T1120,1.45
T1588,T1137,4.35
T1588,T1201,1.45
T1588,T1219,4.35
T1588,T1566,26.09
T1588,T1572,1.45
T1588,T1598,1.45
T1589,T1105,11.11
T1589,T1564,16.67
T1589,T1566,5.56
T1589,T1574,11.11
T1589,T1588,5.56
T1589,T1590,22.22
T1589,T1591,22.22
T1589,T1665,5.56
T1590,T1105,20.00
T1590,T1564,40.00
T1590,T1591,40.00
T1591,T1105,14.29
T1591,T1562,14.29
T1591,T1564,57.14
T1591,T1656,14.29
T1592,T1589,75.00
T1592,T1590,25.00
T1593,T1489,20.00
T1593,T1505,20.00
T1593,T1594,60.00
T1594,T1505,50.00
T1594,T1608,50.00
T1595,T1059,9.09
T1595,T1071,63.64
T1595,T1190,9.09
T1595,T1560,18.18
T1596,T1505,100.00
T1597,T1593,100.00
T1598,T1012,14.29
T1598,T1055,21.43
T1598,T1057,28.57
T1598,T1090,7.14
T1598,T1518,7.14
T1598,T1542,7.14
T1598,T1572,7.14
T1598,T1594,7.14
T1606,T1589,100.00
T1608,T1078,4.76
T1608,T1082,14.29
T1608,T1195,9.52
T1608,T1204,14.29
T1608,T1218,33.33
T1608,T1539,4.76
T1608,T1553,14.29
T1608,T1558,4.76
T1609,T1613,100.00
T1610,T1587,100.00
T1611,T1048,100.00
T1613,T1136,100.00
T1614,T1016,75.00
T1614,T1204,25.00
T1615,T1562,100.00
T1620,T1021,100.00
T1621,T1027,33.33
T1621,T1046,33.33
T1621,T1588,33.33
T1622,T1491,100.00
T1649,T1558,100.00
T1651,T1059,100.00
T1654,T1036,100.00
T1656,T1070,33.33
T1656,T1105,33.33
T1656,T1578,33.33
T1657,T1027,20.00
T1657,T1219,20.00
T1657,T1574,20.00
T1657,T1589,40.00
T1659,T1074,100.00
T1665,T1562,100.00
